fingerprint,candidate,trial,vehicle,time_s,station_m,target_mps,actual_mps,lateral_m,heading_deg,steering,throttle,brake,slip_deg,yaw_radps,assist_Nm,contacts,clearance_m,handling,x,y,z
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,0.099999994,0.007833481,1.71259844,0.191516891,0.0004351139,0.15195109,0.023698166,0.9599037,0,7.64715147,0.03069658,0,4,2.32948732,Grip,3.77002025,0.725258,5.011489
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,0.099999994,0.007807255,1.71259844,0.191129282,0.000182628632,0.149353445,0.022284016,0.960151732,0,7.809721,0.0299802776,0,4,2.330099,Grip,-3.76971674,0.7252584,5.011455
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,0.199999988,0.041557312,1.71259844,0.5767121,3.93390656E-05,0.06852804,0.007912733,0.7417901,0,-0.625387132,0.0016465392,0,4,2.32921886,Grip,3.769818,0.7251766,5.05281734
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,0.199999988,0.0414953232,1.71259844,0.5764171,-0.000239372253,0.0656106,0.00642850064,0.7419827,0,-0.66896,0.00181069924,0,4,2.32944918,Grip,-3.76990628,0.7251767,5.05274868
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,0.299999982,0.0927124,0.1587791,0.2612583,0.00041103363,0.0839293748,0.008203272,0,0,-0.421612144,-0.000200506736,0,4,2.32937145,Grip,3.7695,0.7254697,5.09832335
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,0.299999982,0.09262133,0.158623129,0.260946751,0.000108957291,0.08156469,0.006668817,0,0,-0.402446955,-0.000234815248,0,4,2.32897234,Grip,-3.77019358,0.72546947,5.098226
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,0.399999976,0.112375259,0.192453682,0.153195649,0.0008699894,0.218503237,0.00809377152,0.040536005,0,-0.647432864,7.184907E-05,0,4,2.329823,Grip,3.76905417,0.7254794,5.115617
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,0.399999976,0.112253189,0.192244619,0.152901664,0.000550985336,0.217605874,0.00649801642,0.040596243,0,-0.6383079,5.29481331E-05,0,4,2.32854366,Grip,-3.77062488,0.7254793,5.115489
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,0.5,0.128064632,0.219323277,0.153378338,0.00120568275,0.292083085,0.008032606,0.0581518561,0,-0.8265304,1.4676124E-05,0,4,2.33016157,Grip,3.76872969,0.7252594,5.13112
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,0.5,0.127914429,0.219066024,0.153102264,0.0008790493,0.2914124,0.006448148,0.0581698529,0,-0.81169486,6.59950365E-06,0,4,2.32823753,Grip,-3.77094221,0.725259542,5.13096428
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,0.599999964,0.143454567,0.245680049,0.161040068,0.00141191483,0.257170647,0.008062123,0.07056128,0,0.633057535,-1.99017049E-05,0,4,2.33029747,Grip,3.76860547,0.7251402,5.146609
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,0.599999964,0.143276691,0.245375425,0.160764113,0.00108170509,0.256408662,0.00648593064,0.07054922,0,0.5986487,-3.02851349E-05,0,4,2.328124,Grip,-3.77106524,0.7251402,5.14642525
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,0.7,0.159697533,0.2734977,0.173615485,0.00141382217,0.201741189,0.008099346,0.0808223039,0,-1.61355293,0.0004961298,0,4,2.33042383,Grip,3.76850367,0.7251306,5.163112
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,0.7,0.159491524,0.2731449,0.173325151,0.00108599663,0.200768948,0.006535858,0.08078737,0,-1.56833375,0.000467470381,0,4,2.328045,Grip,-3.77116561,0.725130856,5.1629
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,0.799999952,0.177456379,0.303911477,0.1904031,0.00151467323,0.1619255,0.007685511,0.09015985,0,2.97243023,-0.0009770707,0,4,2.33025455,Grip,3.76865029,0.725165069,5.18123055
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,0.799999952,0.1772208,0.303508073,0.1900904,0.00118350983,0.160712555,0.00611477625,0.09010804,0,2.87467265,-0.000957601937,0,4,2.32816219,Grip,-3.77102375,0.7251653,5.18098927
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,0.9,0.1971736,0.337679148,0.211401209,0.00127649307,0.141274214,0.008406438,0.09909398,0,-4.382045,0.001825479,0,4,2.33052158,Grip,3.768459,0.7251972,5.20138645
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,0.9,0.19690609,0.337221026,0.211053014,0.000952720642,0.139882311,0.006880975,0.09902587,0,-4.263725,0.00175629428,0,4,2.32804728,Grip,-3.771209,0.7251975,5.20111132
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,1,0.219233036,0.375458121,0.236701965,0.0015642643,0.131221235,0.00710591068,0.107923247,0,5.73479748,-0.00239331974,0,4,2.33007288,Grip,3.76882768,0.725212336,5.2239604
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,1,0.218928814,0.374937117,0.236315981,0.001231432,0.129721522,0.005531846,0.107842885,0,5.58506346,-0.002343098,0,4,2.32832575,Grip,-3.77085,0.725212455,5.223648
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,1.1,0.244030476,0.4179262,0.266520947,0.00113511086,0.126668811,0.008631098,0.116994746,0,-5.78067732,0.002915656,0,4,2.33061123,Grip,3.76842046,0.725212634,5.249356
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,1.1,0.243684769,0.4173341,0.2660802,0.000812768936,0.125114545,0.00715172943,0.116896875,0,-5.65827131,0.00282735634,0,4,2.328053,Grip,-3.77124643,0.7252126,5.2490015
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,1.19999993,0.271996468,0.46582073,0.300999,0.001557827,0.121946558,0.006784174,0.126596823,0,4.665235,-0.00255792867,0,4,2.33008766,Grip,3.76884365,0.7252053,5.278011
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,1.19999993,0.271604538,0.465149462,0.300507069,0.00122499466,0.1203313,0.00522418832,0.126486316,0,4.574155,-0.00252458686,0,4,2.32836628,Grip,-3.77083158,0.7252054,5.277609
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,1.3,0.303603142,0.5199502,0.3405445,0.0012114048,0.117033929,0.008273115,0.137078434,0,-2.76006675,0.00197981577,0,4,2.33052921,Grip,3.76851583,0.725195646,5.31040573
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,1.3,0.303159237,0.51919,0.339986265,0.0008845329,0.1153499,0.0068260706,0.136947528,0,-2.725053,0.001924279,0,4,2.32815218,Grip,-3.7711525,0.725195765,5.30995131
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,0,1.4,0.3393712,0.58120656,0.3856065,0.00143313408,0.108352363,0.007080978,0.148665458,0,1.22085476,-0.000879831263,0,4,2.33031034,Grip,3.76869822,0.7251869,5.34707451
0544a1ae7366147c2d5489a3165c2a17753a16b6bcd225872530dac5aefef070,bcda0c1dd3354fbf916d69dbfda10c84.Inside,0,1,1.4,0.3388696,0.5803475,0.384979784,0.00110173225,0.108352363,0.00558897434,0.1485167,0,1.2036227,-0.000894128869,0,4,2.32829142,Grip,-3.77097178,0.725186944,5.34656
