tick,time,measurement_time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z,speed_kph,forward_speed_kph,lateral_speed_mps,yaw_rate_rad_s,lateral_accel_mps2,slip_angle_deg,slip_angle_valid,airborne,grounded_wheels,engine_rpm,engine_torque,drivetrain_torque,gear,shifting,nitrous_active,nitrous_seconds,raw_steering,raw_throttle,raw_brake,raw_handbrake,raw_nitrous,final_steering,final_throttle,final_brake,final_handbrake,final_nitrous,handling,assist_yaw_torque,average_longitudinal_slip
52,1.0399996,0.0399996042,4.784309E-09,0.676981032,17.8185463,5.699517E-09,0.0588636734,12.0281706,-5.537264E-08,-0.23693946,-9.492397,43.9854622,43.9687843,1.09943263E-08,-6.46328058E-09,-5.95647549E-08,5.23895132E-08,1,0,4,900,25.5528011,238.4015,1,0,0,0,0,1,0,0,0,0,0.13,0.78,0,0,Grip,4.952769E-06,0.388284981
53,1.05999959,0.0599995852,4.908411E-09,0.678072453,18.0551338,4.4471884E-09,0.0543307364,11.8274679,-6.261642E-08,-0.226646855,-10.0351334,43.30193,43.28583,1.11628395E-08,-6.49194343E-09,-6.833186E-08,5.4094933E-08,1,0,4,1035.37622,50.68067,472.8385,1,0,0,0,0,1,0,0,0,0,0.26,0.559999943,0,0,Grip,4.88624E-06,0.282412231
54,1.07999957,0.0799995661,5.00104E-09,0.6790759,18.288044,3.35917227E-09,0.0499362051,11.6435881,-5.44008074E-08,-0.219726563,-9.193993,42.5793343,42.56372,1.14479173E-08,-6.41633235E-09,-6.08051E-08,5.635229E-08,1,0,4,1417.19434,79.47762,741.507141,1,0,0,0,0,1,0,0,0,0,0.39,0.339999944,0,0,Grip,4.907909E-06,0.0511295646
55,1.09999955,0.09999955,5.05039033E-09,0.6799737,18.5202656,2.0478077E-09,0.0457512178,11.61803,-6.556823E-08,-0.209249377,-1.27792358,41.9173,41.90215,1.15193828E-08,-6.030784E-09,-6.661231E-08,5.68277656E-08,1,0,4,1799.01245,117.736855,1098.45654,1,0,0,0,0,1,0,0,0,0,0.52,0.119999945,0,0,Grip,4.85074725E-06,0.0288403668
56,1.11999953,0.119999528,5.07564968E-09,0.6807865,18.7532043,4.37393843E-10,0.0428464748,11.6646242,-8.052069E-08,-0.145237148,2.329731,41.82523,41.81095,1.10678355E-08,-4.842652E-09,-7.83933842E-08,5.438033E-08,1,0,4,2180.83057,167.903229,1566.49683,1,0,0,0,0,1,0,0,0,0,0.65,0,0,0,Grip,4.55927238E-06,0.03793411
57,1.13999951,0.139999509,5.07763254E-09,0.681570053,18.9874611,-1.18344134E-09,0.04258633,11.7398624,-8.104176E-08,-0.0130072236,3.76191139,41.99293,41.97998,1.06377076E-08,-4.85112572E-09,-7.724637E-08,5.19299626E-08,1,0,4,2562.64868,230.445251,2149.99878,1,0,0,0,0,1,0,0,0,0,0.78,0,0,0,Grip,3.66104473E-06,0.0471604019
58,1.15999949,0.15999949,5.052096E-09,0.682397842,19.2234745,-2.76275447E-09,0.0458470546,11.8354454,-7.89656553E-08,0.163036212,4.779148,42.2637825,42.2524071,1.02800062E-08,-4.841908E-09,-7.368756E-08,4.977646E-08,1,0,4,2944.4668,303.0814,2827.67651,1,0,0,0,0,1,0,0,0,0,0.909999967,0,0,0,Grip,3.667451E-06,0.07591475
59,1.17999947,0.179999471,5.01046E-09,0.683352232,19.4613819,-4.329316E-09,0.05292667,11.9351969,-7.832808E-08,0.3539808,4.98757362,42.60792,42.598156,9.949879E-09,-4.85760676E-09,-7.234473E-08,4.77734474E-08,1,0,4,3326.285,364.814636,3403.633,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,3.66048243E-06,0.1627983
60,1.19999945,0.199999452,4.95007146E-09,0.6845113,19.7009869,-5.74865E-09,0.06355628,12.0224743,-7.09667E-08,0.53148067,4.36387062,42.96713,42.9588547,9.760498E-09,-4.85106266E-09,-6.531697E-08,4.652233E-08,1,0,4,3708.103,383.4136,3577.157,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,3.67235066E-06,0.02357035
61,1.21999943,0.219999433,4.873648E-09,0.6859306,19.94275,-7.10743E-09,0.0769199058,12.1321726,-6.793901E-08,0.6681811,5.484915,43.28151,43.274498,9.669228E-09,-4.84381335E-09,-6.031761E-08,4.56691E-08,1,0,4,3729.479,383.971741,3582.36426,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,3.66740323E-06,0.0986755043
62,1.23999941,0.239999413,4.786953E-09,0.6876515,20.1869125,-8.379891E-09,0.09222037,12.2528152,-6.362302E-08,0.7650234,6.032133,43.6767,43.6707726,9.689156E-09,-4.83631668E-09,-5.466952E-08,4.53112357E-08,1,0,4,4111.29736,386.18573,3603.02,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,3.66192285E-06,0.07498707
63,1.25999939,0.2599994,4.64900252E-09,0.689699769,20.433588,-9.52185E-09,0.108664826,12.37826,-5.709797E-08,0.82222265,6.27222061,44.11138,44.1064034,9.86814E-09,-4.77129625E-09,-4.719491E-08,4.56792222E-08,1,0,4,4165.06543,385.3349,3595.082,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,3.65625533E-06,0.0943859443
64,1.27999938,0.279999375,4.48572157E-09,0.6920849,20.6828423,-1.09397735E-08,0.125438571,12.505826,-7.089618E-08,0.8386873,6.378317,44.56345,44.5592842,9.787465E-09,-4.735866E-09,-6.022484E-08,4.48423627E-08,1,0,4,4348.777,373.755951,3487.05322,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,3.60709987E-06,0.0463574044
65,1.29999936,0.299999356,4.307343E-09,0.6948004,20.934721,-1.23012436E-08,0.141744584,12.6348257,-6.80735042E-08,0.815300643,6.4499855,45.02324,45.01978,9.77526948E-09,-4.69858E-09,-5.66775036E-08,4.432803E-08,1,0,4,4037.75732,386.883331,3609.52856,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,3.58031457E-06,0.05247453
66,1.31999934,0.319999337,4.119157E-09,0.69782424,21.1892586,-1.35235139E-08,0.156861618,12.765089,-6.111352E-08,0.755851746,6.51316643,45.4882355,45.4853935,9.912921E-09,-4.65331729E-09,-4.899801E-08,4.44924062E-08,1,0,4,4124.59375,386.002136,3601.30713,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,3.5521266E-06,0.0519066229
67,1.33999932,0.339999318,3.85490573E-09,0.7011222,21.4464436,-1.45919614E-08,0.170188859,12.89447,-5.342238E-08,0.666362047,6.469059,45.95779,45.9554977,1.0242891E-08,-4.62250638E-09,-4.07894731E-08,4.55111078E-08,1,0,4,4162.093,385.389465,3595.591,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,3.51790777E-06,0.05168499
68,1.3599993,0.3599993,3.59286267E-09,0.7046499,21.7062683,-1.615073E-08,0.181239873,13.0229969,-7.793846E-08,0.552550733,6.42633438,46.4241371,46.4223251,1.0079507E-08,-4.54977345E-09,-6.479868E-08,4.434232E-08,1,0,4,4202.37842,384.459717,3586.91675,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,3.4946147E-06,0.05169758
69,1.37999928,0.37999928,3.30680128E-09,0.708356,21.9687023,-1.73479737E-08,0.189668357,13.1500473,-5.986216E-08,0.4214242,6.35252,46.8873253,46.8859444,1.09181961E-08,-6.88051749E-09,-4.599215E-08,4.75671342E-08,1,0,4,4243.976,381.486725,3559.17944,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,3.4396287E-06,0.0516496524
70,1.39999926,0.399999261,2.98865377E-09,0.7121842,22.23372,-1.87738411E-08,0.195262924,13.2756147,-7.129337E-08,0.279728323,6.278372,47.3450928,47.3440857,1.15509255E-08,-6.81387835E-09,-5.67217775E-08,4.98471948E-08,1,0,4,4284.71973,378.5205,3531.50537,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,5.20167123E-06,0.051770702
71,1.41999924,0.419999242,2.66026556E-09,0.7160759,22.5012875,-2.02695958E-08,0.197946116,13.39973,-7.47877351E-08,0.134159625,6.20574951,47.7973824,47.7966957,1.2123369E-08,-6.715557E-09,-5.95385679E-08,5.1832604E-08,1,0,4,4326.22949,375.446533,3502.826,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,5.151292E-06,0.05199513
72,1.43999922,0.439999223,2.33813013E-09,0.7199737,22.7713737,-2.16211049E-08,0.197764486,13.5224209,-6.75754563E-08,-0.009081513,6.13455772,48.24429,48.2438736,1.28426656E-08,-6.592186E-09,-5.167175E-08,5.44096039E-08,1,0,4,4368.06348,372.2987,3473.45752,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,5.076961E-06,0.0522802733
