tick,time,measurement_time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z,speed_kph,forward_speed_kph,lateral_speed_mps,yaw_rate_rad_s,lateral_accel_mps2,slip_angle_deg,slip_angle_valid,airborne,grounded_wheels,engine_rpm,engine_torque,drivetrain_torque,gear,shifting,nitrous_active,nitrous_seconds,raw_steering,raw_throttle,raw_brake,raw_handbrake,raw_nitrous,final_steering,final_throttle,final_brake,final_handbrake,final_nitrous,handling,assist_yaw_torque,average_longitudinal_slip
52,1.0399996,0.0399996042,4.784309E-09,0.676981032,17.8185463,5.699517E-09,0.0588636734,12.0281706,-5.537264E-08,-0.23693946,-9.492397,43.9854622,43.9687843,1.09943263E-08,-6.46328058E-09,-5.95647549E-08,5.23895132E-08,1,0,4,900,0,0,1,0,0,0,0,0,0,0,0,0,0,0.78,0,0,Grip,4.952769E-06,0.391305447
53,1.05999959,0.0599995852,4.90536367E-09,0.678072453,18.0551357,4.447133E-09,0.0543307364,11.8275919,-6.26192E-08,-0.226646855,-10.0289345,43.30193,43.28583,1.11633476E-08,-6.48195675E-09,-6.833111E-08,5.40968266E-08,1,0,4,1013.39856,-0.755990446,-7.0532093,1,0,0,0,0,0,0,0,0,0,0,0.559999943,0,0,Grip,4.88624E-06,0.292049348
54,1.07999957,0.0799995661,4.979229E-09,0.6790763,18.2879868,3.33541883E-09,0.04993698,11.64058,-5.55857049E-08,-0.219687819,-9.350586,42.57978,42.564167,1.1980025E-08,-8.730524E-09,-6.254452E-08,5.89868421E-08,1,0,4,1395.2168,-3.30144525,-30.8016911,1,0,0,0,0,0,0,0,0,0,0,0.339999944,0,0,Grip,4.90035927E-06,0.05763161
55,1.09999955,0.09999955,5.04952924E-09,0.679979563,18.5194054,1.91495575E-09,0.0457342528,11.5755281,-7.102316E-08,-0.210136369,-3.25260162,41.90647,41.8913155,1.22435857E-08,-7.573712E-09,-7.39311048E-08,6.062244E-08,1,0,4,1777.03491,-5.84689951,-54.5501671,1,0,0,0,0,0,0,0,0,0,0,0.119999945,0,0,Grip,6.600276E-06,0.0263246782
56,1.11999953,0.119999528,5.09618836E-09,0.680799663,18.7503471,4.96858E-10,0.0425505526,11.5595131,-7.090489E-08,-0.159185,-0.80075264,41.672226,41.6578255,1.23596182E-08,-6.805817E-09,-7.172822E-08,6.128023E-08,1,0,4,2158.853,-8.392353,-78.29864,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,5.725726E-06,0.003201317
57,1.13999951,0.139999509,5.111008E-09,0.68158114,18.9809437,-1.00952535E-09,0.04138368,11.5482807,-7.531917E-08,-0.058343634,-0.5616188,41.61453,41.6012154,1.220867E-08,-6.021393E-09,-7.596325E-08,6.058895E-08,1,0,4,2540.67114,-10.9378071,-102.047112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,5.14519752E-06,0.003606605
58,1.15999949,0.15999949,5.08639841E-09,0.682379,19.2112141,-2.58648813E-09,0.04272931,11.5358067,-7.884814E-08,0.06728154,-0.623703,41.5740776,41.561985,1.18382539E-08,-5.370355E-09,-7.962962E-08,5.881251E-08,1,0,4,2922.48926,-13.4832621,-125.7956,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,4.552173E-06,0.00396637572
59,1.17999947,0.179999471,5.080322E-09,0.6832462,19.4411621,-4.22731272E-09,0.0465459377,11.5222044,-8.204123E-08,0.190831348,-0.680112839,41.5291862,41.5182724,1.11456187E-08,-4.44434534E-09,-8.29511251E-08,5.54354038E-08,1,0,4,3304.30737,-16.0287151,-149.544067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,4.059988E-06,0.00430702465
60,1.19999945,0.199999452,5.06879427E-09,0.6842276,19.6708012,-5.32011946E-09,0.0524347425,11.5080147,-5.464034E-08,0.29444024,-0.709486,41.4802742,41.47041,1.08865077E-08,-4.0147583E-09,-5.56432838E-08,5.421213E-08,1,0,4,3416.40479,-16.7760315,-156.516342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,3.359925E-06,0.00431689527
61,1.21999943,0.219999433,5.051492E-09,0.6853553,19.9001522,-6.205004E-09,0.0598025769,11.4935522,-4.424423E-08,0.368391722,-0.72312355,41.42928,41.42032,1.06531139E-08,-3.27411986E-09,-4.5310415E-08,5.31155173E-08,1,0,4,3413.0542,-16.7536945,-156.307953,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Grip,3.035157E-06,0.00421787752
