tick,time,measurement_time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z,speed_kph,forward_speed_kph,lateral_speed_mps,yaw_rate_rad_s,lateral_accel_mps2,slip_angle_deg,slip_angle_valid,airborne,grounded_wheels,engine_rpm,engine_torque,drivetrain_torque,gear,shifting,nitrous_active,nitrous_seconds,raw_steering,raw_throttle,raw_brake,raw_handbrake,raw_nitrous,final_steering,final_throttle,final_brake,final_handbrake,final_nitrous,handling,assist_yaw_torque,average_longitudinal_slip
52,1.0399996,0.0399996042,-0.000796806242,0.7253231,0.002812881,-0.06275558,-0.000131777837,-0.0010763983,-6.20022869,-0.002264815,-0.0123806065,0.2205168,-0.002923077,-0.06275654,-0.06242658,-6.20023775,-88.98255,0,0,4,6818.18164,-9.607271,-10.7560234,1,1,0,0,0,1,0,0,0,0,0.13,0.78,0,0,Grip,0,0.0386996232
53,1.05999959,0.0599995852,-0.000162517463,0.7253201,0.00278550759,0.04194166,-0.000155654852,-0.00143399544,5.23486233,-0.00119385077,-0.0178798568,0.225953788,-0.00365233,0.0419421867,0.0673958957,5.23486853,87.92724,0,0,4,6436.36328,27.5435524,30.8369675,1,1,0,0,0,1,0,0,0,0,0.26,0.559999943,0,0,Grip,0,0.04830727
54,1.07999957,0.0799995661,-0.0005756194,0.725316048,0.002819553,-0.0284848921,-0.000182257674,0.00184165128,-3.52132773,-0.00133014109,0.163782343,0.151079237,-0.005104737,-0.028482344,-0.08596001,-3.52110362,-86.02199,0,0,4,6054.545,71.15302,79.66087,1,1,0,0,0,1,0,0,0,0,0.39,0.339999944,0,0,Grip,0,0.0511993
55,1.09999955,0.09999955,-0.0004729088,0.725311,0.00296902657,0.01004764,-0.0001884094,0.007968219,1.92662668,-0.000307586015,0.3063284,0.102761805,0.00677051349,0.0100454474,0.08139844,1.92654121,51.2178764,0,0,4,5672.72656,122.515717,137.16507,1,1,0,0,0,1,0,0,0,0,0.52,0.119999945,0,0,Grip,0,0.0249506738
56,1.11999953,0.119999528,-0.000610795571,0.7253048,0.00328495353,-0.0107532451,-0.000177952956,0.016692955,-1.04004431,0.000522821967,0.4362368,0.0461703427,0.0286977217,-0.0107331555,-0.0739927739,-1.03951955,-32.563797,0,0,4,5290.908,182.299744,204.097534,1,1,0,0,0,1,0,0,0,0,0.65,0,0,0,Grip,0,0.0045939316
57,1.13999951,0.139999509,-0.000507529359,0.7252978,0.00382508337,0.009557895,-0.000150247884,0.0284011234,1.015557,0.00138525362,0.585408449,0.07148685,0.0601428747,0.009553121,0.06850656,1.01545835,18.5291538,0,0,4,4909.09,250.326279,280.2581,1,1,0,0,0,1,0,0,0,0,0.78,0,0,0,Grip,0,0.006056008
58,1.15999949,0.15999949,-0.000731869,0.725277543,0.005948141,-0.0153707732,-0.00010852643,0.11244908,-1.2464335,0.00208607269,4.202398,0.107879914,0.102251031,-0.0152580179,-0.0585664734,-1.24222,-7.719358,0,0,4,5290.908,266.9287,2490.38086,1,0,0,0,0,1,0,0,0,0,0.909999967,0,0,0,Grip,0,0.6123768
59,1.17999947,0.179999471,-0.0005995131,0.725261569,0.008479573,0.0105241872,9.163527E-05,0.132718921,1.29474807,0.0100080855,1.01349211,0.408581227,0.404871464,0.0105346823,0.0461798571,1.2948283,4.535034,0,0,4,4909.09,328.4696,3064.54248,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.005728726
60,1.19999945,0.199999452,-0.000711312,0.725237846,0.0126369409,-0.00771945436,0.000253724837,0.217809841,-0.912182033,0.008104478,4.254546,0.479288042,0.4777829,-0.00754817249,-0.03537024,-0.9088356,-1.98382652,0,0,4,4527.27148,359.918121,3357.94971,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,1.71238136
61,1.21999943,0.219999433,-0.0007283886,0.7252182,0.0178025067,0.000483214273,0.000538580643,0.268749774,0.410133421,0.0142427906,2.54699659,0.784608245,0.78413403,0.0005730009,0.0226120744,0.410984784,0.122115076,0,0,4,4145.453,385.678558,3598.28833,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.006529586
62,1.23999941,0.239999413,-0.0006792023,0.7251967,0.0246709213,0.00290907361,0.000819846755,0.356317937,0.121292964,0.0140633062,4.37840843,0.9675027,0.9674954,0.00312524918,-0.0136210425,0.123949528,0.5023881,0,0,4,3763.635,384.754852,3589.67041,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,1.93438447
63,1.25999939,0.2599994,-0.000799677859,0.7251842,0.03266387,-0.0065695066,0.00119879551,0.412067473,-0.473929018,0.0189474374,2.78747678,1.28279066,1.28273642,-0.006380851,0.007434716,-0.472652167,-0.886930048,0,0,4,3381.817,368.410767,3437.184,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.006051829
64,1.27999938,0.279999375,-0.000708625943,0.725173652,0.0424891561,0.00580100669,0.0015513649,0.5053313,0.6185257,0.01762847,4.66319036,1.48363769,1.4834547,0.00607796572,-0.00450272067,0.6210812,0.688968539,0,0,4,2999.99878,339.309753,3165.67847,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,1.043258
65,1.29999936,0.299999356,-0.0008130705,0.72518146,0.05296718,-0.005895759,0.00200572819,0.5348319,-0.5848383,0.0227181651,1.47503018,1.819321,1.81918585,-0.00563369133,0.00289862743,-0.5841152,-0.6033881,0,0,4,2618.18066,303.891571,2835.23535,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.00487984065
66,1.31999934,0.319999337,-0.0007599382,0.7251911,0.065277,0.00352249434,0.00230260449,0.627667964,0.470912665,0.014843815,4.641804,1.92552519,1.92541444,0.00385262864,-0.00179396791,0.4733537,0.351620257,0,0,4,2236.36255,267.8997,2499.4397,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.04339785
67,1.33999932,0.339999318,-0.000817960652,0.725209355,0.0791895762,-0.00321186986,0.00270869234,0.70762223,-0.336718231,0.020304393,3.99771333,2.25965548,2.25961113,-0.00285555632,0.00112078839,-0.334705174,-0.231176749,0,0,4,1854.54443,236.016769,2201.97974,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.03769908
68,1.3599993,0.3599993,-0.0008062185,0.725239336,0.09454283,0.0009666999,0.00314676017,0.778612256,0.208928481,0.0219033919,3.54950142,2.54748487,2.54746366,0.00136904616,-0.0006599368,0.210762322,0.100730278,0,0,4,1472.72632,211.870392,1976.69983,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.03361462
69,1.37999928,0.37999928,-0.0008325683,0.7252817,0.11124377,-0.001364074,0.00356297661,0.8445569,-0.1165387,0.020810822,3.29723358,2.803029,2.80302453,-0.000933419855,0.000341736537,-0.114857644,-0.06331622,0,0,4,1090.9082,198.396545,1850.99219,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.031420745
70,1.39999926,0.399999261,-0.000839294633,0.725335836,0.129277527,-0.000203818825,0.00392618123,0.9097656,0.05801276,0.0181602314,3.26043367,3.040436,3.040434,0.000263069931,-0.000164016252,0.0596856028,0.0165658072,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.03116377
71,1.41999924,0.419999242,-0.000854497252,0.7253999,0.148640275,-0.000739636656,0.00422891136,0.974865139,-0.02679089,0.0151365064,3.254977,3.27518678,3.275186,-0.000240598863,6.46121E-05,-0.0251250658,-0.0141391438,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.031225875
72,1.43999922,0.439999223,-0.0008660495,0.72547245,0.16932787,-0.000537709857,0.004469305,1.03986168,0.01009634,0.0120196724,3.24982715,3.50954843,3.50954676,-4.83979238E-06,-2.714326E-05,0.0117612453,-0.000266641844,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.0313022919
73,1.4599992,0.4599992,-0.000878828,0.7255521,0.191335455,-0.0006279726,0.00464712363,1.10473228,-0.004513137,0.008890941,3.2435298,3.74353719,3.743534,-6.199913E-05,6.08978826E-06,-0.002851866,-0.00321520376,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.0313880369
74,1.47999918,0.479999185,-0.0008912635,0.7256371,0.214658782,-0.000619689643,0.00476288935,1.16951263,0.0004141475,0.005788286,3.23901772,3.97707176,3.977067,-2.043799E-05,-4.09472068E-06,0.00207336736,-0.00100118865,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.0314793065
75,1.49999917,0.499999166,-0.0009039571,0.725725949,0.239293978,-0.0006447953,0.004819268,1.23422706,-0.00125528313,0.00281892717,3.23572159,4.210281,4.210273,-1.23673235E-05,-9.04034664E-07,0.0004023175,-0.000574071251,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.03157208
76,1.51999915,0.519999146,-0.000916855759,0.725817144,0.265237421,-0.000663733168,0.00482029561,1.29888511,-0.0009468931,5.13857231E-05,3.23290229,4.44325161,4.44324064,1.85589306E-06,-1.32900107E-06,0.00070937007,8.185962E-05,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.0316632837
77,1.53999913,0.5399991,-0.0009300701,0.7259093,0.292485833,-0.0006867018,0.00477123074,1.363495,-0.00114843133,-0.00245324336,3.23049426,4.67601871,4.676004,1.20181357E-05,-9.568849E-07,0.000506690354,0.000504979049,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.0317505226
78,1.55999911,0.5599991,-0.000943666266,0.726001143,0.32103616,-0.0007112037,0.00467831455,1.42806423,-0.00122509664,-0.00464580953,3.22846174,4.90861225,4.908593,2.06238474E-05,-7.302633E-07,0.000429068285,0.0008273968,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.0318321362
79,1.57999909,0.5799991,-0.0009577106,0.726091743,0.350885659,-0.000737537455,0.004548458,1.49259865,-0.00131668639,-0.00649283174,3.22672129,5.1410594,5.141035,2.73794285E-05,-5.80553262E-07,0.0003366666,0.00105093338,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.0319068059
80,1.59999907,0.59999907,-0.000972262234,0.7261802,0.382031947,-0.0007654681,0.004388737,1.5571034,-0.00139653275,-0.00798604451,3.22523713,5.37338066,5.373351,3.25185829E-05,-3.11586859E-07,0.000256125873,0.00119649211,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.0319737643
81,1.619999,0.619999051,-0.0009873725,0.7262658,0.414472848,-0.000794813852,0.00420641946,1.62158215,-0.00146728707,-0.00911587849,3.22393775,5.60559464,5.60556,3.6226993E-05,-1.39682669E-07,0.0001847622,0.00127994316,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.0320326462
82,1.639999,0.639999032,-0.00100308668,0.7263479,0.448206544,-0.0008254172,0.004008626,1.686038,-0.00153016881,-0.009889668,3.22279334,5.83771563,5.83767557,3.8665894E-05,-5.170311E-08,0.000121345074,0.00131389184,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.0320832431
83,1.659999,0.659999,-0.00101944373,0.726426244,0.483231366,-0.0008571364,0.00380225317,1.75047326,-0.001585958,-0.0103186471,3.22176218,6.0697546,6.06970835,3.99762648E-05,8.56794E-08,6.50691654E-05,0.00130841963,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.03212587
84,1.679999,0.679999,-0.00103647623,0.72650075,0.519546032,-0.000889774237,0.003593765,1.81488919,-0.00163189252,-0.01042441,3.22079659,6.301719,6.301667,4.03554877E-05,2.08042536E-07,1.867182E-05,0.0012739551,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.0321607441
85,1.699999,0.699999,-0.00105421094,0.7265711,0.557149231,-0.000923207554,0.00338840485,1.879287,-0.00167166581,-0.0102680065,3.21989059,6.53361464,6.533557,3.99281271E-05,2.876821E-07,-2.1541211E-05,0.00121727493,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.03218854
86,1.719999,0.719998956,-0.00107266952,0.7266376,0.59604,-0.000957290467,0.003191416,1.943667,-0.00170414569,-0.009849447,3.21900249,6.765445,6.76538134,3.88406334E-05,3.38153654E-07,-5.44580435E-05,0.00114490208,0,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.0322098
87,1.73999894,0.739998937,-0.00109186838,0.7267004,0.6362175,-0.0009918939,0.00300644734,2.00802946,-0.00173017324,-0.009248429,3.21812034,6.99721146,6.997143,3.72222858E-05,3.79211116E-07,-8.092495E-05,0.00106203277,1,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,0,0.0322253481
88,1.75999892,0.7599989,-0.00111181987,0.726759553,0.677680969,-0.0010268871,0.002836672,2.072374,-0.00174965826,-0.008488772,3.21723223,7.22891426,7.228841,3.52029456E-05,4.20484383E-07,-0.000100858175,0.000973232847,1,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,-0.0002866836,0.0322358459
89,1.7799989,0.7799989,-0.00113253284,0.7268155,0.7204298,-0.00106217642,0.00268474082,2.13670063,-0.00176446629,-0.007596554,3.21632624,7.460554,7.46047449,3.28765E-05,4.42539772E-07,-0.000116128453,0.0008815534,1,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,-0.000317886181,0.0322420076
90,1.79999888,0.7999989,-0.00115401193,0.7268686,0.7644634,-0.00109767716,0.00255202455,2.201008,-0.0017750368,-0.006635813,3.21537256,7.692129,7.69204473,3.03261913E-05,4.72227583E-07,-0.000127191088,0.000789411948,1,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,-0.000334560056,0.03224461
91,1.81999886,0.81999886,-0.00117625925,0.7269193,0.809781253,-0.00113328535,0.00243943161,2.265296,-0.00178040937,-0.005629647,3.214395,7.923635,7.92354631,2.76564388E-05,4.74473183E-07,-0.000133071531,0.000699486758,1,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,-0.000357004028,0.0322441943
92,1.83999884,0.839998841,-0.00119927479,0.7269678,0.856383,-0.001168941,0.00234709634,2.32956362,-0.00178278424,-0.004616764,3.21338177,8.155071,8.154978,2.49268487E-05,4.77679464E-07,-0.000135976181,0.000613058,1,0,4,900,196.560013,1833.85767,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Grip,-0.0003587017,0.0322415158
